# Blocks-15.1.0.txt
# Date: 2023-07-28, 15:47:20 GMT
# © 2023 Unicode®, Inc.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
# For documentation, see https://www.unicode.org/reports/tr44/
#
# Format:
# Start Code..End Code; Block Name

# ================================================

# Note:   When comparing block names, casing, whitespace, hyphens,
#         and underbars are ignored.
#         For example, "Latin Extended-A" and "latin extended a" are equivalent.
#         For more information on the comparison of property values,
#            see UAX #44: https://www.unicode.org/reports/tr44/
#
#  All block ranges start with a value where (cp MOD 16) = 0,
#  and end with a value where (cp MOD 16) = 15. In other words,
#  the last hexadecimal digit of the start of range is ...0
#  and the last hexadecimal digit of the end of range is ...F.
#  This constraint on block ranges guarantees that allocations
#  are done in terms of whole columns, and that code chart display
#  never involves splitting columns in the charts.
#
#  All code points not explicitly listed for Block
#  have the value No_Block.

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block


E000..E01F; Private Use Area
E020..E0CF; Latin Extended-1
E0D0..E13F; Cyrillic Extended-1
E140..E15F; Supplemental Punctuation Extended-1
E160..E18F; Combining Diacritical Marks Extended-1
E190..E2CF; Latin Extended-2
E2D0..E37F; Arabic Extended-1
E380..E3FF; Arabic Presentation Form-1
E400..E47F; Latin Extended-3
E480..E4FF; Balinese Extended-1
E500..E53F; Javanese Extended-1
E540..E57F; Kawi Extended-1
E580..E5BF; Sundanese Extended-1
E5C0..E5FF; Devanagari Extended-1
E600..E68F; Pallava
E690..E6FF; Cyrillic Extended-2
E700..E77F; Latin Extended-4
E780..E7BF; Greek Extended-1
E7C0..E7FF; Alphabetic Presentation Forms-1
E800..E87F; Musical Symbols Extended-1
E880..E8FF; Astronomical Symbols Extended-1
E900..E97F; Arabic Extended-2
E980..E9BF; Arabic Suplemental Symbols-1
E9C0..E9FF; Hebrew Extended-1
EA00..EA7F; Arabic Presentation Forms-2
EA80..EABF; Supplemental Punctuation-2
EAC0..EAFF; Miscellaneous Symbols Extended-1
EB00..EB5F; Vexillology Symbols
EB60..EBAF; Miscellaneous Mathematical Symbols-1
EBB0..EBFF; Musical Symbols Extended-2
EC00..EC7F; Cyrillic Extended-3
EC80..ECBF; Number Forms-1
ECC0..ECFF; Latin Extended-5
ED00..ED7F; Alphabetic Presentation Forms-2
ED80..EDBF; Hangul Jamo Extended-1
EDC0..EDFF; Laundry Symbols
EE00..EE3F; Mathematical Alphanumeric Extended-1
EE40..EE7F; Arabic Mathematical Alphanumeric Extended-1
EE80..EEFF; Enclosed Alphanumeric Extended-1
EF00..EFFF; Enclosed Alphanumeric Extended-2
F000..F0FF; Number Forms-2
F200..F2FF; Astronomical Symbols Extended-2




F0000..FFFFF; Supplementary Private Use Area-A
100000..10FFFF; Supplementary Private Use Area-B

# EOF
